date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:55	297/297	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Jan%202024%2011:37:54%20GMT	http://localhost:8080/robots.txt		(from )
13:38:05	503145/503145	U--MC-	200	updated ('OK')	text/html	date:Mon,%2015%20Jan%202024%2011:37:54%20GMT	http://localhost:8080/cramy/	C:/My%20Web%20Sites/cramy/localhost_8080/cramy/index.html	(from )
13:38:05	137/137	---M--	200	added ('OK')	text/css	etag:%2289-60a59d8fb9f40%22	http://localhost:8080/cramy/wp-content/themes/jupiterx-child/assets/css/style.css?ver=6.4.2	C:/My%20Web%20Sites/cramy/localhost_8080/cramy/wp-content/themes/jupiterx-child/assets/css/style1e39.css	(from http://localhost:8080/cramy/)
13:38:06	24973/24973	---M--	200	added ('OK')	text/css	etag:%22618d-60ca6fba0fc80%22	http://localhost:8080/cramy/wp-content/plugins/chaty/css/chaty-front.min.css?ver=3.1.81702761305	C:/My%20Web%20Sites/cramy/localhost_8080/cramy/wp-content/plugins/chaty/css/chaty-front.min32d7.css	(from http://localhost:8080/cramy/)
13:38:06	73126/73126	U-----	200	untouched ('OK')	text/css	etag:%2211da6-60a68e6b602e6%22	http://localhost:8080/cramy/wp-content/plugins/jet-engine/assets/css/frontend.css?ver=3.2.6	C:/My%20Web%20Sites/cramy/localhost_8080/cramy/wp-content/plugins/jet-engine/assets/css/frontendc169.css	(from http://localhost:8080/cramy/)
13:38:07	17572/17572	U-----	200	untouched ('OK')	text/css	etag:%2244a4-60a5a2b23b1e0%22	http://localhost:8080/cramy/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=8.3.0	C:/My%20Web%20Sites/cramy/localhost_8080/cramy/wp-content/plugins/woocommerce/assets/css/woocommerce-layout9662.css	(from http://localhost:8080/cramy/)
13:38:07	776/776	---M--	200	added ('OK')	text/css	etag:%22308-60ccf517a5840%22	http://localhost:8080/cramy/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.22	C:/My%20Web%20Sites/cramy/localhost_8080/cramy/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor378f.css	(from http://localhost:8080/cramy/)
13:38:08	7043/7043	U-----	200	untouched ('OK')	text/css	etag:%221b83-60a5a2b2524c2%22	http://localhost:8080/cramy/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=8.3.0	C:/My%20Web%20Sites/cramy/localhost_8080/cramy/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen9662.css	(from http://localhost:8080/cramy/)
13:38:08	74669/74669	U-----	200	untouched ('OK')	text/css	etag:%22123ad-60a5a2b23aa11%22	http://localhost:8080/cramy/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=8.3.0	C:/My%20Web%20Sites/cramy/localhost_8080/cramy/wp-content/plugins/woocommerce/assets/css/woocommerce9662.css	(from http://localhost:8080/cramy/)
13:38:09	234395/234395	U-----	200	untouched ('OK')	text/css	etag:%223939b-60a68e74a99b0%22	http://localhost:8080/cramy/wp-content/plugins/jet-elements/assets/css/jet-elements.css?ver=2.6.13.1	C:/My%20Web%20Sites/cramy/localhost_8080/cramy/wp-content/plugins/jet-elements/assets/css/jet-elements7752.css	(from http://localhost:8080/cramy/)
